Gene_name	nSites	nLocations	Tot	cdsAlt	utr5Altx	utr3Altx
CNAG_00002	1	1	80	FALSE	FALSE	FALSE
CNAG_00003	2	2	10	TRUE	FALSE	FALSE
CNAG_00004	4	2	46	TRUE	TRUE	FALSE
CNAG_00005	1	1	299	FALSE	FALSE	FALSE
CNAG_00006	3	2	1388	TRUE	FALSE	FALSE
CNAG_00007	5	2	981	TRUE	FALSE	FALSE
CNAG_00008	3	2	1359	TRUE	FALSE	FALSE
CNAG_00009	1	1	532	FALSE	FALSE	FALSE
CNAG_00010	4	2	889	TRUE	FALSE	FALSE
CNAG_00011	3	2	3826	TRUE	FALSE	FALSE
CNAG_00012	3	2	1776	TRUE	FALSE	FALSE
CNAG_00013	3	2	1070	TRUE	TRUE	FALSE
CNAG_00014	4	2	204	TRUE	FALSE	FALSE
CNAG_00015	1	1	2552	FALSE	FALSE	FALSE
CNAG_00016	1	1	8536	FALSE	FALSE	FALSE
CNAG_00017	10	3	127	TRUE	FALSE	FALSE
CNAG_00018	3	2	669	TRUE	FALSE	FALSE
CNAG_00019	1	1	13366	FALSE	FALSE	FALSE
CNAG_00020	7	2	1040	TRUE	FALSE	FALSE
CNAG_00021	3	2	1074	TRUE	FALSE	FALSE
CNAG_00022	2	2	1966	TRUE	FALSE	FALSE
CNAG_00023	3	1	338	FALSE	TRUE	FALSE
CNAG_00024	2	2	13228	FALSE	FALSE	FALSE
CNAG_00025	3	2	1633	TRUE	FALSE	FALSE
CNAG_00026	1	1	5165	FALSE	FALSE	FALSE
CNAG_00027	1	1	295	FALSE	FALSE	FALSE
CNAG_00028	1	1	750	FALSE	FALSE	FALSE
CNAG_00029	2	2	179	TRUE	FALSE	FALSE
CNAG_00030	2	2	124	TRUE	FALSE	FALSE
CNAG_00031	1	1	575	FALSE	FALSE	FALSE
CNAG_00032	2	2	14	TRUE	FALSE	FALSE
CNAG_00034	1	1	8504	FALSE	FALSE	FALSE
CNAG_00035	8	2	104	FALSE	TRUE	TRUE
CNAG_00036	2	2	1691	TRUE	FALSE	FALSE
CNAG_00038	2	2	794	TRUE	FALSE	FALSE
CNAG_00039	6	2	697	TRUE	TRUE	FALSE
CNAG_00040	1	1	2944	FALSE	FALSE	FALSE
CNAG_00043	2	2	604	TRUE	FALSE	FALSE
CNAG_00044	2	2	828	TRUE	FALSE	FALSE
CNAG_00045	4	2	298	TRUE	FALSE	FALSE
CNAG_00046	3	2	2088	TRUE	FALSE	FALSE
CNAG_00047	3	3	8561	TRUE	FALSE	FALSE
CNAG_00048	2	1	884	FALSE	TRUE	FALSE
CNAG_00049	3	1	202	FALSE	TRUE	FALSE
CNAG_00050	3	2	1074	TRUE	FALSE	FALSE
CNAG_00051	3	2	1334	TRUE	TRUE	FALSE
CNAG_00052	1	1	14336	FALSE	FALSE	FALSE
CNAG_00053	1	1	381	FALSE	FALSE	FALSE
CNAG_00054	2	2	9205	TRUE	FALSE	FALSE
CNAG_00055	5	2	277	TRUE	FALSE	FALSE
CNAG_00056	2	2	396	TRUE	FALSE	FALSE
CNAG_00057	1	1	47786	FALSE	FALSE	FALSE
CNAG_00058	1	1	7743	FALSE	FALSE	FALSE
CNAG_00059	1	1	873	FALSE	FALSE	FALSE
CNAG_00060	1	1	6647	FALSE	FALSE	FALSE
CNAG_00061	1	1	119519	FALSE	FALSE	FALSE
CNAG_00062	3	2	2525	TRUE	FALSE	FALSE
CNAG_00063	1	1	3538	FALSE	FALSE	FALSE
CNAG_00064	1	1	3797	FALSE	FALSE	FALSE
CNAG_00065	1	1	33934	FALSE	FALSE	FALSE
CNAG_00066	3	2	1000	TRUE	FALSE	FALSE
CNAG_00067	1	1	15701	FALSE	FALSE	FALSE
CNAG_00068	3	2	68	TRUE	TRUE	FALSE
CNAG_00069	1	1	506	FALSE	FALSE	FALSE
CNAG_00070	6	2	1098	TRUE	TRUE	FALSE
CNAG_00072	3	2	502	TRUE	FALSE	FALSE
CNAG_00073	3	2	3143	TRUE	FALSE	FALSE
CNAG_00074	1	1	5214	FALSE	FALSE	FALSE
CNAG_00075	1	1	19659	FALSE	FALSE	FALSE
CNAG_00076	1	1	4991	FALSE	FALSE	FALSE
CNAG_00077	5	2	1575	TRUE	TRUE	FALSE
CNAG_00078	2	2	439	TRUE	FALSE	FALSE
CNAG_00079	5	2	278	TRUE	TRUE	FALSE
CNAG_00080	2	1	23	TRUE	FALSE	FALSE
CNAG_00081	3	2	1218	TRUE	FALSE	FALSE
CNAG_00082	2	2	371	TRUE	FALSE	FALSE
CNAG_00083	2	2	6931	TRUE	FALSE	FALSE
CNAG_00084	3	2	1714	TRUE	FALSE	FALSE
CNAG_00085	1	1	515	FALSE	FALSE	FALSE
CNAG_00086	1	1	1931	FALSE	FALSE	FALSE
CNAG_00087	5	2	424	TRUE	FALSE	FALSE
CNAG_00088	1	1	4460	FALSE	FALSE	FALSE
CNAG_00089	1	1	2211	FALSE	FALSE	FALSE
CNAG_00090	3	2	313	TRUE	FALSE	FALSE
CNAG_00091	2	2	37223	TRUE	FALSE	FALSE
CNAG_00092	1	1	6123	FALSE	FALSE	FALSE
CNAG_00093	1	1	27466	FALSE	FALSE	FALSE
CNAG_00094	1	1	298	FALSE	FALSE	FALSE
CNAG_00095	4	1	279	TRUE	FALSE	FALSE
CNAG_00096	2	2	265	TRUE	FALSE	FALSE
CNAG_00097	3	3	197	TRUE	FALSE	FALSE
CNAG_00098	2	2	1084	TRUE	FALSE	FALSE
CNAG_00099	4	2	349	TRUE	FALSE	FALSE
CNAG_00100	1	1	2549	FALSE	FALSE	FALSE
CNAG_00101	3	2	353	TRUE	FALSE	FALSE
CNAG_00104	3	2	1333	TRUE	TRUE	FALSE
CNAG_00106	3	2	442	TRUE	FALSE	FALSE
CNAG_00107	2	2	2625	TRUE	FALSE	FALSE
CNAG_00108	1	1	2819	FALSE	FALSE	FALSE
CNAG_00109	2	2	5797	TRUE	FALSE	FALSE
CNAG_00110	3	2	242	TRUE	FALSE	FALSE
CNAG_00111	2	2	1661	TRUE	FALSE	FALSE
CNAG_00115	1	1	15651	FALSE	FALSE	FALSE
CNAG_00116	1	1	30300	FALSE	FALSE	FALSE
CNAG_00117	1	1	3605	FALSE	FALSE	FALSE
CNAG_00118	1	1	518	FALSE	FALSE	FALSE
CNAG_00119	1	1	1109	FALSE	FALSE	FALSE
CNAG_00120	2	2	685	TRUE	FALSE	FALSE
CNAG_00121	3	2	2126	TRUE	FALSE	FALSE
CNAG_00122	4	2	718	FALSE	TRUE	FALSE
CNAG_00123	2	2	3212	TRUE	FALSE	FALSE
CNAG_00124	2	2	1016	TRUE	FALSE	FALSE
CNAG_00125	1	1	885	FALSE	FALSE	FALSE
CNAG_00126	1	1	919	FALSE	FALSE	FALSE
CNAG_00127	3	2	571	TRUE	FALSE	FALSE
CNAG_00128	7	2	378	TRUE	TRUE	FALSE
