name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c	WT_Fluco30_a	WT_Fluco30_b	WT_Fluco30_c	WT_Gal30_a	WT_Gal30_b	WT_Gal30_c	WT_SDS30_a	WT_SDS30_b	WT_SDS30_c	WT_RPMI30_a	WT_RPMI30_b	WT_RPMI30_c	WT_RPMImacro30_a	WT_RPMImacro30_b	WT_RPMImacro30_c
CNAG_00002_1	13646	13650	5	+	utr3E	9	12	7	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	4	10	4	1	4	6	14	4
CNAG_00002_2	13749	13756	8	+	utr3E	16	28	25	14	1	6	0	0	0	1	1	2	11	14	12	0	0	0	8	3	20	0	0	0	7	15	7
CNAG_00007_1	28354	28354	1	+	cdsE	4	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1
CNAG_00007_2	28490	28568	79	+	utr3E	111	157	99	28	9	11	7	11	6	25	23	22	15	17	25	9	12	8	10	7	27	0	0	0	7	14	9
CNAG_00009_1	34779	34780	2	+	utr3E	39	71	45	11	2	9	7	8	4	5	7	7	8	8	13	5	6	5	8	7	13	1	2	4	9	8	11
CNAG_00009_2	34780	34780	1	+	utr3E	0	0	0	11	2	9	7	8	4	5	7	7	8	8	13	5	6	5	8	7	13	1	2	4	9	8	11
CNAG_00009_3	34873	34879	7	+	utr3E	2	3	3	6	2	3	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00011_1	42253	42267	15	+	utr3E	21	36	18	23	8	7	25	26	25	40	34	28	5	5	16	16	30	22	12	9	26	8	2	3	30	58	32
CNAG_00012_1	44858	44917	60	+	utr3E	150	193	111	101	14	55	22	22	19	118	109	77	56	67	76	13	31	11	33	40	113	11	13	27	63	146	76
CNAG_00014_1	47614	47614	1	+	cdsE	1	2	2	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0
CNAG_00014_2	48831	48831	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0
CNAG_00015_1	51216	51216	1	+	utr3E	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00015_2	51355	51428	74	+	utr3E	10	15	7	7	2	6	8	9	6	0	0	0	12	10	12	8	9	3	2	3	7	19	11	38	17	28	18
CNAG_00016_1	53367	53370	4	+	utr5E	67	129	87	17	6	12	6	4	8	26	34	34	5	4	8	1	7	1	5	3	14	2	5	5	3	3	7
CNAG_00016_2	54427	54444	18	+	utr3E	229	428	282	97	28	46	23	38	26	40	53	58	61	75	83	20	25	7	50	34	104	9	7	19	39	59	42
CNAG_00018_1	61923	62003	81	+	utr3E	236	312	214	646	188	456	207	268	244	109	111	114	426	333	502	225	253	117	252	247	683	58	63	134	248	275	185
CNAG_00020_1	66230	66257	28	+	utr3E	16	34	17	5	1	2	0	0	0	24	24	14	4	6	6	0	0	0	2	2	2	1	2	1	3	10	5
CNAG_00020_2	66407	66448	42	+	utr3E	135	244	122	63	16	48	25	38	20	69	79	68	34	40	51	23	38	15	30	20	73	10	3	9	25	55	35
CNAG_00024_1	76194	76200	7	+	cdsE	15	25	12	10	6	13	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	3	6	0	0	0
CNAG_00024_2	77201	77306	106	+	utr3E	49	71	56	23	11	16	10	11	6	7	10	9	4	11	27	2	9	1	9	12	19	22	13	13	9	9	12
CNAG_00024_3	77525	77555	31	+	utr3E	40	38	18	17	3	8	5	1	3	13	17	11	1	3	3	1	1	1	1	2	2	11	3	10	2	9	2
CNAG_00024_4	77638	77663	26	+	utr3E	166	266	117	65	21	45	16	18	8	31	32	38	17	27	41	10	19	7	22	24	66	39	37	68	39	41	35
CNAG_00027_1	85411	85411	1	+	cdsE	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3
CNAG_00027_2	86623	86683	61	+	utr3E	8	13	11	3	1	3	4	3	3	5	7	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3
CNAG_00027_3	86751	86751	1	+	utr3E	12	15	11	4	2	2	2	6	4	8	8	9	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00027_4	87587	87588	2	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	6	9	4
CNAG_00029_1	91182	91182	1	+	cdsI	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00029_2	91868	91868	1	+	utr3E	2	2	3	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	1	7	1
CNAG_00030_1	93449	93455	7	+	utr3E	3	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00032_1	97911	97911	1	+	utr3E	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00032_2	99052	99052	1	+	utr3E	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00034_1	102331	102411	81	+	utr3E	0	0	0	7361	1560	4175	415	597	424	2865	2935	2364	2086	2477	3704	283	439	179	1989	1525	4776	436	334	655	1614	2871	1483
CNAG_00035_1	108812	108812	1	+	utr3E	0	0	0	0	0	0	3	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00039_1	122493	122501	9	+	cdsE	8	6	6	3	1	1	10	7	6	2	6	3	2	1	3	4	4	2	4	1	10	30	24	19	21	14	22
CNAG_00039_2	122501	122501	1	+	cdsE	0	0	0	3	1	1	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00039_3	123435	123490	56	+	utr3E	38	79	30	16	4	17	9	13	8	37	35	36	10	20	19	15	8	6	11	17	21	43	24	33	15	21	11
CNAG_00040_1	126258	126278	21	+	utr3E	24	29	16	11	2	6	0	0	0	17	21	12	13	18	16	0	0	0	2	1	1	0	0	0	2	2	2
CNAG_00040_2	126384	126445	62	+	utr3E	160	284	119	43	14	27	44	36	35	43	41	46	76	132	220	28	52	9	28	25	59	11	8	9	27	43	19
CNAG_00044_1	133232	133233	2	+	cdsE	9	15	10	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00044_2	136272	136303	32	+	cdsE	9	10	9	6	2	2	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00044_3	136364	136388	25	+	utr3E	0	0	0	19	7	17	11	8	6	17	19	10	10	9	14	2	5	2	14	10	24	4	1	1	15	26	9
CNAG_00046_1	139437	139456	20	+	cdsE	94	197	108	47	8	21	15	14	11	51	59	50	20	27	30	4	7	5	13	10	28	16	7	10	10	26	15
CNAG_00046_2	139568	139611	44	+	utr3E	729	1167	645	380	68	183	68	91	66	380	373	331	148	168	206	53	86	33	109	78	229	51	38	67	94	142	131
CNAG_00049_1	144893	144893	1	+	utr5E	2	3	6	0	0	0	0	0	0	3	3	2	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0
CNAG_00049_2	145860	145863	4	+	cdsE	7	16	3	0	0	0	0	0	0	5	3	1	0	0	0	0	0	0	3	1	6	0	0	0	2	3	1
CNAG_00049_3	146816	146816	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_00049_4	146819	146840	22	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00052_1	154805	154861	57	+	utr3E	84	122	76	12	4	6	4	5	4	60	77	65	4	9	6	2	1	1	4	5	6	42	29	53	14	25	29
CNAG_00052_2	154973	155000	28	+	utr3E	297	413	181	140	44	47	53	70	53	360	411	356	76	88	99	27	22	10	32	13	35	534	435	591	122	235	217
CNAG_00053_1	156178	156178	1	+	utr3E	11	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	0	0	0	7	5	3
CNAG_00055_1	158838	158894	57	+	utr3E	38	61	42	4	3	5	9	4	3	10	16	19	9	7	14	2	4	4	10	8	18	0	0	0	4	12	3
CNAG_00056_1	161136	161136	1	+	cdsE	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00056_2	161385	161414	30	+	utr3E	27	44	17	35	16	22	20	22	19	7	7	7	28	30	48	6	8	4	18	29	52	3	2	1	19	21	15
CNAG_00059_1	167417	167431	15	+	utr3E	12	26	20	10	2	7	3	2	1	10	8	9	3	1	5	0	0	0	2	2	11	0	0	0	2	2	1
CNAG_00059_2	167431	167431	1	+	utr3E	0	0	0	10	2	7	3	2	1	0	0	0	3	1	5	0	0	0	2	2	11	0	0	0	2	2	1
CNAG_00061_1	171136	171170	35	+	utr3E	5936	9548	5643	1685	480	945	610	840	581	1703	1945	1721	913	1397	1960	718	1108	532	1343	1123	3061	515	460	527	725	950	537
CNAG_00063_1	175671	175671	1	+	utr3E	7	11	14	8	1	4	0	0	0	0	0	0	2	4	4	0	0	0	2	1	4	0	0	0	1	4	3
CNAG_00063_2	175900	175904	5	+	utr3E	51	89	57	28	8	22	1	3	1	4	4	3	11	20	17	0	0	0	9	8	23	0	0	0	4	7	2
CNAG_00065_1	178968	179003	36	+	utr3E	0	0	0	149	48	115	35	48	40	170	164	173	65	89	128	15	29	7	66	63	165	4	3	12	53	87	55
CNAG_00067_1	185028	185083	56	+	utr3E	265	442	353	365	99	191	99	88	70	89	95	96	207	223	280	70	91	64	148	114	314	18	22	31	205	335	204
CNAG_00068_1	192264	192264	1	+	utr3E	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00068_2	192501	192501	1	+	utr3E	6	3	7	0	0	0	4	4	2	4	2	2	0	0	0	0	0	0	1	2	2	2	5	1	16	7	6
CNAG_00069_1	194373	194373	1	+	utr3E	0	0	0	0	0	0	0	0	0	6	2	4	0	0	0	0	0	0	1	4	8	0	0	0	0	0	0
CNAG_00070_1	195170	195177	8	+	utr5E	21	32	28	14	1	4	11	10	5	13	13	9	5	12	7	5	9	5	3	7	13	30	20	25	24	29	17
CNAG_00070_2	195276	195287	12	+	utr5E	15	20	29	0	0	0	7	9	4	16	15	17	3	3	3	6	10	5	6	5	12	51	31	45	37	47	28
