	merge_cluster																
name	start	stop	size	location	ne241EXPO-a	ne241EXPO-b	ne241EXPO-c	ne241-37-a	ne241-37-b	ne241-37-c	ne241STAT-a	ne241STAT-b	ne241STAT-c	ne241STAT-37-a	ne241STAT-37-b	ne241STAT-37-c	
CNAG_00002_1	12730	12825	96	utr5E	14.00	9.00	19.00	9.00	13.00	7.00	0	0	0	3.00	3.00	3.00	
CNAG_00007_1	26275	26289	15	utr5E	66.00	62.00	38.00	35.00	34.00	19.00	37.00	25.00	26.00	35.00	17.00	43.00	
CNAG_00007_2	26679	26706	28	cdsE	0	0	0	25.00	26.00	18.00	0	0	0	5.00	5.00	3.00	
CNAG_00007_3	26880	26952	73	cdsE	26.00	46.00	44.00	17.00	13.00	17.00	6.00	5.00	6.00	6.00	8.00	5.00	
CNAG_00007_4	27010	27124	115	cdsE	22.00	26.00	29.00	6.00	5.00	8.00	3.00	4.00	3.00	13.00	12.00	9.00	
CNAG_00007_5	27703	27870	168	cdsE	0	0	0	1.00	1.00	1.00	4.00	8.00	8.00	45.00	25.00	30.00	
CNAG_00009_1	33086	33143	58	utr5E	92.00	97.00	70.00	45.00	40.00	45.00	20.00	17.00	22.00	32.00	32.00	20.00	
CNAG_00011_1	40231	40679	449	utr5E	160.00	178.00	130.00	237.00	201.00	164.00	501.00	446.00	406.00	284.00	238.00	288.00	
CNAG_00011_2	41525	41795	271	cdsE	3.00	4.00	3.00	6.00	3.00	7.00	10.00	15.00	14.00	147.00	102.00	98.00	
CNAG_00011_3	41876	42110	235	cdsE	1.00	1.00	2.00	1.00	1.00	1.00	6.00	7.00	8.00	55.00	44.00	54.00	
CNAG_00012_1	43254	43392	139	utr5E	171.00	227.00	170.00	173.00	110.00	106.00	111.00	97.00	122.00	78.00	42.00	62.00	
CNAG_00012_2	44554	44637	84	cdsE	0	0	0	4.00	6.00	4.00	8.00	11.00	7.00	65.00	40.00	36.00	
CNAG_00012_3	44724	44766	43	cdsE	0	0	0	5.00	5.00	6.00	1.00	2.00	1.00	40.00	29.00	37.00	
CNAG_00014_1	46702	46736	35	utr5E	17.00	36.00	25.00	6.00	7.00	5.00	14.00	12.00	15.00	7.00	3.00	7.00	
CNAG_00014_2	47144	47145	2	cdsE	0	0	0	0	0	0	4.00	4.00	3.00	0	0	0	
