name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c	upf1_Expo30_a	upf1_Expo30_b	upf1_Expo30_c	pab2_Expo30_a	pab2_Expo30_b	pab2_Expo30_c
CNA00010_1	4913	4938	26	+	cdsE	20	6	10	12	10	9	17	30	25	13	17	16	7	2	5	130	67	74
CNA00010_2	6233	6239	7	+	utr3E	63	36	34	150	86	70	23	32	69	57	52	58	71	46	49	25	8	16
CNA00030_1	12623	12651	29	+	utr3E	4	3	8	20	15	10	11	8	15	42	26	42	90	67	71	7	7	3
CNA00030_2	12842	12854	13	+	utr3E	7	8	9	30	23	14	26	10	20	38	23	13	46	34	30	2	2	2
CNA00050_1	20492	20526	35	+	utr3E	100	57	42	50	31	23	67	61	79	118	146	103	56	42	43	29	17	17
CNA00070_1	24266	24369	104	+	cdsE	461	234	180	158	78	71	125	117	188	147	184	122	154	161	110	124	102	115
CNA00075_1	27608	27608	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	6
CNA00075_2	27665	27669	5	+	utr3E	3	1	1	4	2	3	0	0	0	5	7	3	8	10	7	2	2	1
CNA00075_3	27984	27991	8	+	utr3E	0	0	0	17	14	14	0	0	0	1	2	2	8	2	4	0	0	0
CNA00080_1	29503	29512	10	+	utr3E	16	10	6	4	8	3	4	5	3	16	22	8	3	4	6	17	3	6
CNA00090_1	30880	30930	51	+	utr3E	22	5	6	20	14	6	1	2	3	14	14	9	8	9	7	3	2	7
CNA00090_2	30999	30999	1	+	utr3E	32	8	14	15	13	3	3	2	4	5	5	1	8	13	16	7	4	4
CNA00090_3	31081	31119	39	+	utr3E	658	330	220	82	55	72	37	48	74	74	88	58	96	72	69	157	75	124
CNA00110_1	38597	38627	31	+	utr3E	1324	890	588	856	535	409	647	474	635	860	974	783	656	547	514	155	87	124
CNA00130_1	42795	42817	23	+	utr3E	57	31	17	15	9	2	32	26	27	38	50	35	33	32	34	18	13	15
CNA00130_2	42964	42974	11	+	utr3E	271	270	151	123	110	69	253	212	263	289	288	294	254	111	159	51	17	23
CNA00130_3	43119	43120	2	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	7
CNA00170_1	53842	53845	4	+	utr3E	6	12	7	15	24	7	13	9	25	18	15	13	24	10	11	27	13	21
CNA00170_2	54130	54140	11	+	utr3E	13	4	7	17	13	9	17	25	26	53	45	36	40	21	30	21	11	11
CNA00170_3	54239	54254	16	+	utr3E	525	474	298	315	241	167	258	182	237	260	288	189	391	249	286	127	89	107
CNA00200_1	60045	60045	1	+	utr5E	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	15	11	17
CNA00200_2	60133	60157	25	+	utr5E	0	0	0	4	2	3	0	0	0	0	0	0	0	0	0	12	5	8
CNA00200_3	63120	63188	69	+	utr3E	12	7	2	9	9	6	11	16	14	22	31	18	6	4	5	10	4	5
