name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c
CNAG_00002_1	12730	12825	96	+	utr5E	14	9	19	9	13	7	0	0	0	3	3	3
CNAG_00007_1	26275	26289	15	+	utr5E	66	62	38	35	34	19	37	25	26	35	17	43
CNAG_00007_2	26679	26706	28	+	cdsE	0	0	0	25	26	18	0	0	0	5	5	3
CNAG_00007_3	26880	26952	73	+	cdsE	26	46	44	17	13	17	6	5	6	6	8	5
CNAG_00007_4	27010	27124	115	+	cdsE	22	26	29	6	5	8	3	4	3	13	12	9
CNAG_00007_5	27703	27870	168	+	cdsE	0	0	0	1	1	1	4	8	8	45	25	30
CNAG_00009_1	33086	33143	58	+	utr5E	92	97	70	45	40	45	20	17	22	32	32	20
CNAG_00011_1	40231	40679	449	+	utr5E	160	178	130	237	201	164	501	446	406	284	238	288
CNAG_00011_2	41525	41795	271	+	cdsE	3	4	3	6	3	7	10	15	14	147	102	98
CNAG_00011_3	41876	42110	235	+	cdsE	1	1	2	1	1	1	6	7	8	55	44	54
CNAG_00012_1	43254	43392	139	+	utr5E	171	227	170	173	110	106	111	97	122	78	42	62
CNAG_00012_2	44554	44637	84	+	cdsE	0	0	0	4	6	4	8	11	7	65	40	36
CNAG_00012_3	44724	44766	43	+	cdsE	0	0	0	5	5	6	1	2	1	40	29	37
CNAG_00014_1	46702	46736	35	+	utr5E	17	36	25	6	7	5	14	12	15	7	3	7
CNAG_00014_2	47144	47145	2	+	cdsE	0	0	0	0	0	0	4	4	3	0	0	0
CNAG_00014_3	48037	48040	4	+	cdsE	6	14	8	0	0	0	2	5	1	0	0	0
CNAG_00014_4	48084	48084	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	1	1
CNAG_00015_1	50096	50227	132	+	utr5E	134	219	199	189	134	150	343	350	388	200	106	140
