	merge_cluster																															
name	start	stop	size	location	ne241STAT-37-a	ne241STAT-37-b	ne241STAT-37-c	ne241EXPO-a	ne241EXPO-b	ne241EXPO-c	ne241-37-a	ne241-37-b	ne241-37-c	ne241Fluco-a	ne241Fluco-b	ne241Fluco-c	ne241GAL-a	ne241GAL-b	ne241GAL-c	ne241SDS-a	ne241SDS-b	ne241SDS-c	ne241STAT-a	ne241STAT-b	ne241STAT-c	ne241RPMI-a	ne241RPMI-b	ne241RPMI-c	ne241RPMI_Macro-a	ne241RPMI_Macro-b	ne241RPMI_Macro-c	
CNAG_00002_1	13646	13650	5	utr3E	0	0	0	9.00	12.00	7.00	3.00	2.00	4.00	0	0	0	0	0	0	1.00	4.00	10.00	0	0	0	4.00	1.00	4.00	6.00	14.00	4.00	
CNAG_00002_2	13749	13756	8	utr3E	1.00	1.00	2.00	16.00	28.00	25.00	14.00	1.00	6.00	11.00	14.00	12.00	0	0	0	8.00	3.00	20.00	0	0	0	0	0	0	7.00	15.00	7.00	
CNAG_00007_1	28354	28354	1	cdsE	0	0	0	4.00	6.00	6.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	3.00	1.00	
CNAG_00007_2	28490	28568	79	utr3E	25.00	23.00	22.00	111.00	157.00	99.00	28.00	9.00	11.00	15.00	17.00	25.00	9.00	12.00	8.00	10.00	7.00	27.00	7.00	11.00	6.00	0	0	0	7.00	14.00	9.00	
CNAG_00009_1	34779	34780	2	utr3E	5.00	7.00	7.00	39.00	71.00	45.00	11.00	2.00	9.00	8.00	8.00	13.00	5.00	6.00	5.00	8.00	7.00	13.00	7.00	8.00	4.00	1.00	2.00	4.00	9.00	8.00	11.00	
CNAG_00009_2	34780	34780	1	utr3E	5.00	7.00	7.00	0	0	0	11.00	2.00	9.00	8.00	8.00	13.00	5.00	6.00	5.00	8.00	7.00	13.00	7.00	8.00	4.00	1.00	2.00	4.00	9.00	8.00	11.00	
CNAG_00009_3	34873	34879	7	utr3E	0	0	0	2.00	3.00	3.00	6.00	2.00	3.00	2.00	3.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00011_1	42253	42267	15	utr3E	40.00	34.00	28.00	21.00	36.00	18.00	23.00	8.00	7.00	5.00	5.00	16.00	16.00	30.00	22.00	12.00	9.00	26.00	25.00	26.00	25.00	8.00	2.00	3.00	30.00	58.00	32.00	
CNAG_00012_1	44858	44917	60	utr3E	118.00	109.00	77.00	150.00	193.00	111.00	101.00	14.00	55.00	56.00	67.00	76.00	13.00	31.00	11.00	33.00	40.00	113.00	22.00	22.00	19.00	11.00	13.00	27.00	63.00	146.00	76.00	
CNAG_00014_1	47614	47614	1	cdsE	0	0	0	1.00	2.00	2.00	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	1.00	1.00	3.00	0	0	0	0	0	0	
CNAG_00014_2	48831	48831	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00015_1	51216	51216	1	utr3E	0	0	0	1.00	3.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00015_2	51355	51428	74	utr3E	0	0	0	10.00	15.00	7.00	7.00	2.00	6.00	12.00	10.00	12.00	8.00	9.00	3.00	2.00	3.00	7.00	8.00	9.00	6.00	19.00	11.00	38.00	17.00	28.00	18.00	
CNAG_00016_1	53367	53370	4	utr5E	26.00	34.00	34.00	67.00	129.00	87.00	17.00	6.00	12.00	5.00	4.00	8.00	1.00	7.00	1.00	5.00	3.00	14.00	6.00	4.00	8.00	2.00	5.00	5.00	3.00	3.00	7.00	
CNAG_00016_2	54427	54444	18	utr3E	40.00	53.00	58.00	229.00	428.00	282.00	97.00	28.00	46.00	61.00	75.00	83.00	20.00	25.00	7.00	50.00	34.00	104.00	23.00	38.00	26.00	9.00	7.00	19.00	39.00	59.00	42.00	
CNAG_00018_1	61923	62003	81	utr3E	109.00	111.00	114.00	236.00	312.00	214.00	646.00	188.00	456.00	426.00	333.00	502.00	225.00	253.00	117.00	252.00	247.00	683.00	207.00	268.00	244.00	58.00	63.00	134.00	248.00	275.00	185.00	
CNAG_00020_1	66230	66257	28	utr3E	24.00	24.00	14.00	16.00	34.00	17.00	5.00	1.00	2.00	4.00	6.00	6.00	0	0	0	2.00	2.00	2.00	0	0	0	1.00	2.00	1.00	3.00	10.00	5.00	
CNAG_00020_2	66407	66448	42	utr3E	69.00	79.00	68.00	135.00	244.00	122.00	63.00	16.00	48.00	34.00	40.00	51.00	23.00	38.00	15.00	30.00	20.00	73.00	25.00	38.00	20.00	10.00	3.00	9.00	25.00	55.00	35.00	
CNAG_00024_1	76194	76200	7	cdsE	0	0	0	15.00	25.00	12.00	10.00	6.00	13.00	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	1.00	3.00	6.00	0	0	0	
CNAG_00024_2	77201	77306	106	utr3E	7.00	10.00	9.00	49.00	71.00	56.00	23.00	11.00	16.00	4.00	11.00	27.00	2.00	9.00	1.00	9.00	12.00	19.00	10.00	11.00	6.00	22.00	13.00	13.00	9.00	9.00	12.00	
CNAG_00024_3	77525	77555	31	utr3E	13.00	17.00	11.00	40.00	38.00	18.00	17.00	3.00	8.00	1.00	3.00	3.00	1.00	1.00	1.00	1.00	2.00	2.00	5.00	1.00	3.00	11.00	3.00	10.00	2.00	9.00	2.00	
CNAG_00024_4	77638	77663	26	utr3E	31.00	32.00	38.00	166.00	266.00	117.00	65.00	21.00	45.00	17.00	27.00	41.00	10.00	19.00	7.00	22.00	24.00	66.00	16.00	18.00	8.00	39.00	37.00	68.00	39.00	41.00	35.00	
CNAG_00027_1	85411	85411	1	cdsE	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	3.00	
CNAG_00027_2	86623	86683	61	utr3E	5.00	7.00	2.00	8.00	13.00	11.00	3.00	1.00	3.00	0	0	0	0	0	0	0	0	0	4.00	3.00	3.00	0	0	0	1.00	5.00	3.00	
CNAG_00027_3	86751	86751	1	utr3E	8.00	8.00	9.00	12.00	15.00	11.00	4.00	2.00	2.00	2.00	5.00	3.00	0	0	0	0	0	0	2.00	6.00	4.00	0	0	0	0	0	0	
CNAG_00027_4	87587	87588	2	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	6.00	9.00	4.00	
CNAG_00029_1	91182	91182	1	cdsI	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00029_2	91868	91868	1	utr3E	0	0	0	2.00	2.00	3.00	0	0	0	1.00	3.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	7.00	1.00	
CNAG_00030_1	93449	93455	7	utr3E	0	0	0	3.00	8.00	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00032_1	97911	97911	1	utr3E	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00032_2	99052	99052	1	utr3E	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00034_1	102331	102411	81	utr3E	2865.00	2935.00	2364.00	0	0	0	7361.00	1560.00	4175.00	2086.00	2477.00	3704.00	283.00	439.00	179.00	1989.00	1525.00	4776.00	415.00	597.00	424.00	436.00	334.00	655.00	1614.00	2871.00	1483.00	
CNAG_00035_1	108812	108812	1	utr3E	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	4.00	1.00	0	0	0	0	0	0	
