	merge_cluster																									
name	stop	start	size	location	ne11EXPO-a	ne11EXPO-b	ne11EXPO-c	ne11-37-a	ne11-37-b	ne11-37-c	ne11STAT-a	ne11STAT-b	ne11STAT-c	ne11STAT-37-a	ne11STAT-37-b	ne11STAT-37-c	ne579-30-a	ne579-30-b	ne579-30-c	ne579-37-a	ne579-37-b	ne579-37-c	ne579STAT-a	ne579STAT-b	ne579STAT-c	
CNA00020_1	6721	6724	4	cdsE	0	0	0	0	0	0	0	0	0	3.00	7.00	3.00	0	0	0	1.00	1.00	2.00	1.00	1.00	1.00	
CNA00020_2	6840	6896	57	cdsE	0	0	0	0	0	0	7.00	7.00	9.00	10.00	8.00	6.00	0	0	0	0	0	0	13.00	11.00	13.00	
CNA00020_3	7002	7019	18	cdsE	0	0	0	1.00	2.00	1.00	5.00	3.00	3.00	5.00	7.00	3.00	0	0	0	0	0	0	12.00	13.00	15.00	
CNA00020_4	7297	7419	123	cdsI	33.00	18.00	13.00	13.00	15.00	23.00	5.00	6.00	4.00	8.00	3.00	8.00	9.00	10.00	7.00	34.00	27.00	67.00	12.00	7.00	6.00	
CNA00020_5	7795	7797	3	cdsE	0	0	0	2.00	3.00	3.00	0	0	0	0	0	0	7.00	13.00	5.00	9.00	6.00	6.00	3.00	1.00	1.00	
CNA00020_6	7891	7916	26	cdsI	0	0	0	2.00	1.00	5.00	20.00	32.00	21.00	0	0	0	0	0	0	2.00	1.00	1.00	1.00	2.00	1.00	
CNA00020_7	8313	8379	67	utr5E	66.00	44.00	30.00	11.00	11.00	17.00	25.00	27.00	19.00	8.00	7.00	5.00	42.00	39.00	42.00	17.00	29.00	9.00	46.00	49.00	42.00	
CNA00040_1	15956	16011	56	utr5E	247.00	163.00	144.00	84.00	58.00	61.00	98.00	65.00	96.00	67.00	45.00	51.00	73.00	78.00	77.00	33.00	44.00	23.00	48.00	57.00	62.00	
CNA00060_1	21638	21663	26	cdsE	6.00	1.00	1.00	0	0	0	5.00	8.00	7.00	14.00	10.00	10.00	0	0	0	0	0	0	6.00	2.00	3.00	
CNA00060_2	21812	21853	42	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.00	7.00	12.00	0	0	0	
CNA00060_3	21984	22014	31	cdsE	3.00	4.00	2.00	4.00	4.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00060_4	22793	22825	33	utr5E	380.00	267.00	197.00	31.00	24.00	34.00	35.00	35.00	27.00	23.00	24.00	39.00	186.00	112.00	129.00	61.00	60.00	48.00	82.00	70.00	53.00	
CNA00100_1	31624	31624	1	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00100_2	31688	31694	7	cdsE	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	2.00	2.00	3.00	0	0	0	0	0	0	
CNA00100_3	31742	31953	212	cdsE	29.00	20.00	27.00	27.00	18.00	34.00	2.00	3.00	3.00	42.00	39.00	34.00	6.00	5.00	5.00	43.00	39.00	58.00	9.00	6.00	4.00	
CNA00100_4	33227	33227	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	3.00	1.00	1.00	0	0	0	0	0	0	
CNA00100_5	33378	33420	43	cdsI	8.00	5.00	3.00	10.00	10.00	11.00	0	0	0	8.00	17.00	15.00	1.00	3.00	1.00	12.00	17.00	8.00	0	0	0	
CNA00100_6	34456	34464	9	utr5E	6.00	5.00	5.00	3.00	4.00	2.00	3.00	6.00	3.00	3.00	3.00	2.00	1.00	2.00	1.00	1.00	1.00	1.00	0	0	0	
CNA00120_1	39012	39115	104	utr5E	1945.00	1384.00	1234.00	428.00	366.00	446.00	653.00	577.00	446.00	493.00	459.00	553.00	1494.00	1085.00	1193.00	996.00	913.00	1542.00	649.00	602.00	559.00	
