	merge_cluster																						
name	start	stop	size	location	ne11EXPO-a	ne11EXPO-b	ne11EXPO-c	ne11-37-a	ne11-37-b	ne11-37-c	ne695EXPO-a	ne695EXPO-b	ne695EXPO-c	ne11STAT-a	ne11STAT-b	ne11STAT-c	ne11STAT-37-a	ne11STAT-37-b	ne11STAT-37-c	ne579EXPO-a	ne579EXPO-b	ne579EXPO-c	
CNA00010_1	4913	4938	26	cdsE	20.00	6.00	10.00	12.00	10.00	9.00	130.00	67.00	74.00	17.00	30.00	25.00	13.00	17.00	16.00	7.00	2.00	5.00	
CNA00010_2	6233	6239	7	utr3E	63.00	36.00	34.00	150.00	86.00	70.00	25.00	8.00	16.00	23.00	32.00	69.00	57.00	52.00	58.00	71.00	46.00	49.00	
CNA00030_1	12623	12651	29	utr3E	4.00	3.00	8.00	20.00	15.00	10.00	7.00	7.00	3.00	11.00	8.00	15.00	42.00	26.00	42.00	90.00	67.00	71.00	
CNA00030_2	12842	12854	13	utr3E	7.00	8.00	9.00	30.00	23.00	14.00	2.00	2.00	2.00	26.00	10.00	20.00	38.00	23.00	13.00	46.00	34.00	30.00	
CNA00050_1	20492	20526	35	utr3E	100.00	57.00	42.00	50.00	31.00	23.00	29.00	17.00	17.00	67.00	61.00	79.00	118.00	146.00	103.00	56.00	42.00	43.00	
CNA00070_1	24266	24369	104	cdsE	461.00	234.00	180.00	158.00	78.00	71.00	124.00	102.00	115.00	125.00	117.00	188.00	147.00	184.00	122.00	154.00	161.00	110.00	
CNA00075_1	27608	27608	1	utr3E	0	0	0	0	0	0	3.00	2.00	6.00	0	0	0	0	0	0	0	0	0	
CNA00075_2	27665	27669	5	utr3E	3.00	1.00	1.00	4.00	2.00	3.00	2.00	2.00	1.00	0	0	0	5.00	7.00	3.00	8.00	10.00	7.00	
CNA00075_3	27984	27991	8	utr3E	0	0	0	17.00	14.00	14.00	0	0	0	0	0	0	1.00	2.00	2.00	8.00	2.00	4.00	
CNA00080_1	29503	29512	10	utr3E	16.00	10.00	6.00	4.00	8.00	3.00	17.00	3.00	6.00	4.00	5.00	3.00	16.00	22.00	8.00	3.00	4.00	6.00	
CNA00090_1	30880	30930	51	utr3E	22.00	5.00	6.00	20.00	14.00	6.00	3.00	2.00	7.00	1.00	2.00	3.00	14.00	14.00	9.00	8.00	9.00	7.00	
CNA00090_2	30999	30999	1	utr3E	32.00	8.00	14.00	15.00	13.00	3.00	7.00	4.00	4.00	3.00	2.00	4.00	5.00	5.00	1.00	8.00	13.00	16.00	
CNA00090_3	31081	31119	39	utr3E	658.00	330.00	220.00	82.00	55.00	72.00	157.00	75.00	124.00	37.00	48.00	74.00	74.00	88.00	58.00	96.00	72.00	69.00	
CNA00110_1	38597	38627	31	utr3E	1324.00	890.00	588.00	856.00	535.00	409.00	155.00	87.00	124.00	647.00	474.00	635.00	860.00	974.00	783.00	656.00	547.00	514.00	
CNA00130_1	42795	42817	23	utr3E	57.00	31.00	17.00	15.00	9.00	2.00	18.00	13.00	15.00	32.00	26.00	27.00	38.00	50.00	35.00	33.00	32.00	34.00	
CNA00130_2	42964	42974	11	utr3E	271.00	270.00	151.00	123.00	110.00	69.00	51.00	17.00	23.00	253.00	212.00	263.00	289.00	288.00	294.00	254.00	111.00	159.00	
CNA00130_3	43119	43120	2	utr3E	0	0	0	0	0	0	6.00	5.00	7.00	0	0	0	0	0	0	0	0	0	
CNA00170_1	53842	53845	4	utr3E	6.00	12.00	7.00	15.00	24.00	7.00	27.00	13.00	21.00	13.00	9.00	25.00	18.00	15.00	13.00	24.00	10.00	11.00	
CNA00170_2	54130	54140	11	utr3E	13.00	4.00	7.00	17.00	13.00	9.00	21.00	11.00	11.00	17.00	25.00	26.00	53.00	45.00	36.00	40.00	21.00	30.00	
CNA00170_3	54239	54254	16	utr3E	525.00	474.00	298.00	315.00	241.00	167.00	127.00	89.00	107.00	258.00	182.00	237.00	260.00	288.00	189.00	391.00	249.00	286.00	
CNA00200_1	60045	60045	1	utr5E	0	0	0	2.00	1.00	1.00	15.00	11.00	17.00	0	0	0	0	0	0	0	0	0	
CNA00200_2	60133	60157	25	utr5E	0	0	0	4.00	2.00	3.00	12.00	5.00	8.00	0	0	0	0	0	0	0	0	0	
CNA00200_3	63120	63188	69	utr3E	12.00	7.00	2.00	9.00	9.00	6.00	10.00	4.00	5.00	11.00	16.00	14.00	22.00	31.00	18.00	6.00	4.00	5.00	
CNA00200_4	63488	63491	4	utr3E	0	0	0	2.00	3.00	4.00	0	0	0	8.00	3.00	8.00	2.00	1.00	1.00	0	0	0	
CNA00220_1	68263	68287	25	utr3E	0	0	0	5.00	3.00	2.00	10.00	4.00	5.00	6.00	5.00	15.00	1.00	2.00	1.00	2.00	2.00	1.00	
CNA00220_2	68287	68287	1	utr3E	0	0	0	5.00	3.00	2.00	0	0	0	6.00	5.00	15.00	1.00	2.00	1.00	2.00	2.00	1.00	
CNA00220_3	68289	68289	1	utr3E	2.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00225_1	69380	69380	1	cdsE	0	0	0	0	0	0	0	0	0	2.00	3.00	1.00	5.00	1.00	2.00	0	0	0	
CNA00225_2	69868	69868	1	utr3E	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00240_1	74335	74340	6	utr3E	3.00	1.00	2.00	0	0	0	0	0	0	5.00	4.00	9.00	12.00	10.00	10.00	21.00	18.00	15.00	
