Gene_name	nSites	nLocations	Tot	cdsAlt	utr5Altx	utr3Altx
CNA00010	1	1	1999	FALSE	FALSE	FALSE
CNA00020	7	3	1235	TRUE	FALSE	FALSE
CNA00030	7	4	1458	TRUE	FALSE	FALSE
CNA00040	1	1	1674	FALSE	FALSE	FALSE
CNA00050	3	2	4196	TRUE	FALSE	FALSE
CNA00060	4	3	2043	TRUE	FALSE	FALSE
CNA00070	1	1	6695	FALSE	FALSE	FALSE
CNA00075	2	2	2074	TRUE	FALSE	FALSE
CNA00080	4	2	159	TRUE	FALSE	FALSE
CNA00090	1	1	6855	FALSE	FALSE	FALSE
CNA00100	6	3	652	TRUE	FALSE	FALSE
CNA00110	7	2	820	TRUE	FALSE	FALSE
CNA00120	1	1	18017	FALSE	FALSE	FALSE
CNA00130	10	2	566	TRUE	FALSE	FALSE
CNA00140	2	2	2163	TRUE	FALSE	FALSE
CNA00150	3	2	669	TRUE	FALSE	FALSE
CNA00160	4	3	2027	TRUE	TRUE	FALSE
CNA00170	2	2	39848	FALSE	FALSE	FALSE
CNA00180	2	2	3719	TRUE	FALSE	FALSE
CNA00190	1	1	5585	FALSE	FALSE	FALSE
CNA00200	8	2	268	TRUE	TRUE	FALSE
CNA00210	2	2	255	FALSE	FALSE	FALSE
CNA00220	4	3	42	TRUE	FALSE	FALSE
CNA00225	1	1	17	TRUE	FALSE	FALSE
CNA00230	5	2	401	TRUE	FALSE	FALSE
CNA00240	2	1	159	FALSE	TRUE	FALSE
CNA00250	2	2	32405	TRUE	FALSE	FALSE
CNA00260	6	3	1838	TRUE	FALSE	TRUE
CNA00270	3	3	1046	TRUE	FALSE	FALSE
CNA00280	3	3	7258	TRUE	FALSE	FALSE
CNA00290	9	4	235	TRUE	TRUE	FALSE
CNA00300	1	1	19324	FALSE	FALSE	FALSE
CNA00310	5	3	1092	TRUE	FALSE	FALSE
CNA00320	3	2	419	TRUE	FALSE	FALSE
CNA00330	5	2	1055	TRUE	FALSE	FALSE
CNA00340	3	2	760	TRUE	FALSE	FALSE
CNA00350	1	1	4689	FALSE	FALSE	FALSE
CNA00360	4	2	17966	TRUE	FALSE	FALSE
CNA00370	3	2	211	FALSE	TRUE	FALSE
CNA00380	8	3	177	TRUE	TRUE	FALSE
CNA00390	2	2	2674	FALSE	FALSE	FALSE
CNA00400	4	2	3665	TRUE	TRUE	FALSE
CNA00410	1	1	34254	FALSE	FALSE	FALSE
CNA00420	4	2	488	TRUE	FALSE	FALSE
CNA00430	4	3	2124	TRUE	TRUE	FALSE
CNA00450	9	2	313	TRUE	FALSE	FALSE
CNA00460	1	1	598	FALSE	FALSE	FALSE
CNA00470	1	1	45366	FALSE	FALSE	FALSE
CNA00480	1	1	29417	FALSE	FALSE	FALSE
CNA00485	2	2	1258	TRUE	FALSE	FALSE
CNA00490	1	1	19754	FALSE	FALSE	FALSE
CNA00510	1	1	132877	FALSE	FALSE	FALSE
CNA00520	2	2	3191	TRUE	FALSE	FALSE
CNA00530	2	2	5482	TRUE	FALSE	FALSE
CNA00540	4	2	3538	TRUE	TRUE	FALSE
CNA00550	1	1	4942	FALSE	FALSE	FALSE
CNA00560	1	1	92789	FALSE	FALSE	FALSE
CNA00570	8	2	164	TRUE	TRUE	FALSE
CNA00580	1	1	48736	FALSE	FALSE	FALSE
CNA00590	10	4	149	TRUE	TRUE	FALSE
CNA00600	7	2	160	TRUE	TRUE	FALSE
CNA00610	6	3	429	TRUE	TRUE	FALSE
CNA00620	3	2	2545	TRUE	FALSE	FALSE
CNA00630	1	1	6625	FALSE	FALSE	FALSE
CNA00640	1	1	3623	FALSE	FALSE	FALSE
CNA00650	1	1	24118	FALSE	FALSE	FALSE
CNA00660	3	3	2372	TRUE	FALSE	FALSE
CNA00670	7	2	709	TRUE	TRUE	FALSE
CNA00680	8	3	964	TRUE	FALSE	FALSE
CNA00690	6	3	1495	TRUE	TRUE	FALSE
CNA00700	5	3	981	TRUE	FALSE	FALSE
CNA00710	4	2	839	TRUE	FALSE	FALSE
CNA00720	4	2	203	TRUE	FALSE	FALSE
CNA00730	1	1	8816	FALSE	FALSE	FALSE
CNA00740	4	3	4257	TRUE	FALSE	FALSE
CNA00750	2	2	1640	TRUE	FALSE	FALSE
CNA00760	2	2	8739	TRUE	FALSE	FALSE
CNA00770	7	2	808	TRUE	FALSE	FALSE
CNA00780	2	2	1575	TRUE	FALSE	FALSE
CNA00790	1	1	3258	FALSE	FALSE	FALSE
CNA00800	13	4	315	TRUE	FALSE	TRUE
CNA00820	2	2	14680	TRUE	FALSE	FALSE
CNA00830	1	1	14967	FALSE	FALSE	FALSE
CNA00840	3	2	9325	TRUE	FALSE	FALSE
CNA00850	3	2	26416	TRUE	TRUE	FALSE
CNA00860	5	2	429	TRUE	FALSE	FALSE
CNA00870	2	2	914	TRUE	FALSE	FALSE
CNA00880	4	3	1364	TRUE	FALSE	FALSE
CNA00890	10	3	496	TRUE	TRUE	FALSE
CNA00900	6	2	549	TRUE	FALSE	FALSE
CNA00910	1	1	5486	FALSE	FALSE	FALSE
CNA00920	3	2	1912	TRUE	FALSE	FALSE
CNA00930	2	2	4873	TRUE	FALSE	FALSE
CNA00940	1	1	8377	FALSE	FALSE	FALSE
CNA00950	3	2	2909	TRUE	FALSE	FALSE
CNA00960	4	3	182	TRUE	TRUE	FALSE
CNA00970	5	3	371	TRUE	FALSE	FALSE
CNA00980	4	2	753	TRUE	FALSE	FALSE
CNA00990	1	1	5827	FALSE	FALSE	FALSE
CNA01000	1	1	7159	FALSE	FALSE	FALSE
CNA01010	5	2	255	TRUE	FALSE	FALSE
CNA01020	1	1	3643	FALSE	FALSE	FALSE
CNA01030	6	2	330	TRUE	FALSE	FALSE
CNA01040	2	1	883	TRUE	FALSE	FALSE
CNA01050	1	1	12260	FALSE	FALSE	FALSE
CNA01060	1	1	82485	FALSE	FALSE	FALSE
CNA01070	2	2	17268	TRUE	FALSE	FALSE
CNA01080	1	1	3290	FALSE	FALSE	FALSE
CNA01090	1	1	3979	FALSE	FALSE	FALSE
CNA01095	1	1	2868	FALSE	FALSE	FALSE
CNA01100	2	2	3820	FALSE	FALSE	FALSE
CNA01120	3	3	578	TRUE	FALSE	FALSE
CNA01130	3	2	1284	TRUE	TRUE	FALSE
CNA01140	4	2	1485	TRUE	TRUE	FALSE
CNA01150	8	3	662	TRUE	TRUE	FALSE
CNA01160	1	1	8709	FALSE	FALSE	FALSE
CNA01170	5	3	2099	TRUE	FALSE	FALSE
CNA01180	3	2	8040	TRUE	FALSE	FALSE
CNA01190	9	3	201	TRUE	FALSE	FALSE
CNA01200	7	4	1223	TRUE	TRUE	FALSE
CNA01205	1	1	2808	FALSE	FALSE	FALSE
CNA01210	3	2	2495	TRUE	FALSE	FALSE
CNA01220	1	1	7487	FALSE	FALSE	FALSE
CNA01230	5	2	1655	TRUE	FALSE	FALSE
CNA01240	1	1	2219	FALSE	FALSE	FALSE
CNA01250	1	1	7671	FALSE	FALSE	FALSE
CNA01260	1	1	53222	FALSE	FALSE	FALSE
CNA01270	1	1	38933	FALSE	FALSE	FALSE
CNA01280	3	2	1692	TRUE	FALSE	FALSE
CNA01290	1	1	9567	FALSE	FALSE	FALSE
CNA01310	2	2	4407	TRUE	FALSE	FALSE
CNA01320	4	2	999	TRUE	TRUE	FALSE
CNA01330	3	2	666	TRUE	TRUE	FALSE
CNA01340	3	2	611	TRUE	FALSE	FALSE
CNA01350	1	1	19510	FALSE	FALSE	FALSE
CNA01360	1	1	6371	FALSE	FALSE	FALSE
CNA01370	2	1	22363	FALSE	TRUE	FALSE
CNA01380	2	1	2767	FALSE	TRUE	FALSE
CNA01390	2	1	26251	TRUE	FALSE	FALSE
CNA01400	1	1	13680	FALSE	FALSE	FALSE
CNA01410	2	2	2585	TRUE	FALSE	FALSE
CNA01420	1	1	7547	FALSE	FALSE	FALSE
CNA01430	2	1	10	TRUE	FALSE	FALSE
CNA01440	5	1	90	TRUE	FALSE	FALSE
CNA01450	5	2	1547	TRUE	TRUE	FALSE
CNA01460	1	1	12549	FALSE	FALSE	FALSE
CNA01470	4	3	1583	TRUE	FALSE	FALSE
CNA01480	2	1	3172	FALSE	TRUE	FALSE
CNA01490	5	3	607	TRUE	FALSE	FALSE
CNA01500	1	1	23837	FALSE	FALSE	FALSE
CNA01510	4	2	1002	TRUE	FALSE	FALSE
CNA01520	6	3	826	TRUE	TRUE	FALSE
CNA01530	3	2	1325	TRUE	FALSE	FALSE
CNA01540	2	2	5414	TRUE	FALSE	FALSE
CNA01550	4	2	799	TRUE	FALSE	FALSE
CNA01560	3	3	612	TRUE	TRUE	FALSE
CNA01580	6	2	334	TRUE	FALSE	FALSE
CNA01590	7	2	549	TRUE	FALSE	FALSE
CNA01600	6	3	183	TRUE	FALSE	FALSE
CNA01610	2	2	728	TRUE	FALSE	FALSE
CNA01620	5	3	1106	TRUE	FALSE	FALSE
CNA01630	3	2	834	TRUE	FALSE	FALSE
CNA01640	1	1	4189	FALSE	FALSE	FALSE
CNA01650	1	1	14	FALSE	FALSE	FALSE
CNA01660	6	3	3862	TRUE	TRUE	FALSE
CNA01680	4	2	2956	TRUE	TRUE	FALSE
CNA01690	2	2	3404	TRUE	FALSE	FALSE
CNA01700	2	2	5605	TRUE	FALSE	FALSE
CNA01710	1	1	4771	FALSE	FALSE	FALSE
CNA01720	1	1	6489	FALSE	FALSE	FALSE
CNA01730	4	2	2248	TRUE	FALSE	FALSE
CNA01740	1	1	11111	FALSE	FALSE	FALSE
CNA01750	1	1	7019	FALSE	FALSE	FALSE
CNA01760	1	1	32649	FALSE	FALSE	FALSE
CNA01770	1	1	1023	FALSE	FALSE	FALSE
CNA01780	2	2	2286	TRUE	FALSE	FALSE
CNA01790	2	2	2174	TRUE	FALSE	FALSE
CNA01800	4	2	236	FALSE	FALSE	TRUE
CNA01810	9	3	226	TRUE	TRUE	FALSE
CNA01820	4	3	679	TRUE	TRUE	FALSE
CNA01830	1	1	1137	FALSE	FALSE	FALSE
CNA01840	3	2	1040	TRUE	FALSE	FALSE
CNA01850	5	2	2873	TRUE	FALSE	FALSE
CNA01860	2	2	2710	TRUE	FALSE	FALSE
CNA01870	1	1	2038	FALSE	FALSE	FALSE
CNA01880	1	1	62114	FALSE	FALSE	FALSE
CNA01890	2	2	1423	TRUE	FALSE	FALSE
CNA01900	8	2	288	TRUE	FALSE	FALSE
CNA01910	2	2	2331	TRUE	FALSE	FALSE
CNA01920	1	1	94682	FALSE	FALSE	FALSE
CNA01930	4	2	3167	TRUE	TRUE	FALSE
CNA01940	1	1	57622	FALSE	FALSE	FALSE
CNA01950	1	1	56861	FALSE	FALSE	FALSE
CNA01960	7	3	266	TRUE	FALSE	TRUE
CNA01980	4	2	360	TRUE	TRUE	FALSE
CNA01990	2	2	8735	TRUE	FALSE	FALSE
CNA02000	2	2	1281	FALSE	FALSE	FALSE
CNA02010	4	4	843	TRUE	FALSE	FALSE
CNA02015	2	1	1138	FALSE	TRUE	FALSE
CNA02020	4	2	423	TRUE	FALSE	FALSE
CNA02030	5	2	1503	TRUE	FALSE	FALSE
CNA02040	3	2	8184	TRUE	FALSE	FALSE
CNA02050	1	1	2345	TRUE	FALSE	FALSE
CNA02055	2	2	4393	TRUE	FALSE	FALSE
CNA02060	7	2	664	TRUE	FALSE	FALSE
CNA02080	3	2	844	TRUE	FALSE	FALSE
CNA02090	1	1	5309	FALSE	FALSE	FALSE
CNA02100	1	1	27501	FALSE	FALSE	FALSE
CNA02115	2	2	854	TRUE	FALSE	FALSE
CNA02120	3	2	1671	FALSE	TRUE	FALSE
CNA02125	8	2	1411	TRUE	TRUE	FALSE
CNA02130	2	2	1867	TRUE	FALSE	FALSE
CNA02140	3	2	8630	TRUE	FALSE	FALSE
CNA02150	5	2	832	TRUE	FALSE	FALSE
CNA02160	2	1	4471	FALSE	TRUE	FALSE
CNA02170	1	1	10430	FALSE	FALSE	FALSE
CNA02180	3	3	563	TRUE	FALSE	FALSE
CNA02205	5	2	722	FALSE	FALSE	TRUE
CNA02210	1	1	2251	FALSE	FALSE	FALSE
CNA02220	1	1	134450	FALSE	FALSE	FALSE
CNA02230	2	2	2676	TRUE	FALSE	FALSE
CNA02240	1	1	1154	FALSE	FALSE	FALSE
CNA02250	1	1	2998	FALSE	FALSE	FALSE
CNA02260	5	2	928	TRUE	FALSE	FALSE
CNA02270	1	1	1815	FALSE	FALSE	FALSE
CNA02290	2	2	38667	TRUE	FALSE	FALSE
CNA02300	1	1	3595	FALSE	FALSE	FALSE
CNA02310	1	1	1192	FALSE	FALSE	FALSE
CNA02330	1	1	1704	FALSE	FALSE	FALSE
