	merge_cluster																									
name	start	stop	size	location	ne11EXPO-a	ne11EXPO-b	ne11EXPO-c	ne11-37-a	ne11-37-b	ne11-37-c	ne11STAT-a	ne11STAT-b	ne11STAT-c	ne11STAT-37-a	ne11STAT-37-b	ne11STAT-37-c	ne579-30-a	ne579-30-b	ne579-30-c	ne579-37-a	ne579-37-b	ne579-37-c	ne579STAT-a	ne579STAT-b	ne579STAT-c	
CNA00010_1	4821	4868	48	utr5E	208.00	108.00	109.00	70.00	73.00	99.00	49.00	64.00	56.00	46.00	44.00	49.00	180.00	85.00	84.00	89.00	121.00	60.00	128.00	172.00	105.00	
CNA00030_1	8994	9091	98	utr5E	6.00	13.00	11.00	10.00	5.00	11.00	31.00	30.00	16.00	1.00	1.00	3.00	41.00	64.00	49.00	23.00	22.00	23.00	28.00	37.00	42.00	
CNA00030_2	10486	10542	57	cdsE	0	0	0	1.00	2.00	1.00	8.00	6.00	7.00	2.00	1.00	1.00	19.00	58.00	28.00	1.00	3.00	1.00	6.00	8.00	14.00	
CNA00030_3	10700	10702	3	cdsE	3.00	1.00	2.00	4.00	4.00	2.00	0	0	0	0	0	0	2.00	3.00	2.00	3.00	2.00	2.00	0	0	0	
CNA00030_4	10868	10977	110	cdsE	2.00	2.00	4.00	0	0	0	45.00	57.00	41.00	15.00	11.00	10.00	24.00	16.00	21.00	27.00	27.00	29.00	59.00	48.00	54.00	
CNA00030_5	11252	11255	4	cdsI	4.00	3.00	2.00	4.00	5.00	3.00	0	0	0	4.00	3.00	7.00	3.00	1.00	5.00	15.00	19.00	11.00	0	0	0	
CNA00030_6	11614	11727	114	cdsE	0	0	0	0	0	0	3.00	3.00	11.00	16.00	13.00	11.00	32.00	21.00	18.00	15.00	21.00	8.00	0	0	0	
CNA00030_7	12796	12840	45	utr3E	0	0	0	8.00	14.00	16.00	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00050_1	16179	16234	56	utr5E	404.00	308.00	235.00	196.00	137.00	132.00	313.00	229.00	201.00	98.00	119.00	137.00	94.00	147.00	141.00	72.00	73.00	35.00	252.00	398.00	250.00	
CNA00050_2	17451	17544	94	cdsE	1.00	1.00	1.00	1.00	2.00	1.00	2.00	5.00	4.00	0	0	0	26.00	18.00	12.00	4.00	5.00	5.00	0	0	0	
CNA00050_3	19648	19708	61	cdsE	0	0	0	0	0	0	4.00	8.00	4.00	39.00	32.00	34.00	0	0	0	0	0	0	5.00	6.00	5.00	
CNA00070_1	22933	23035	103	utr5E	1422.00	588.00	500.00	59.00	69.00	71.00	363.00	283.00	267.00	232.00	214.00	248.00	451.00	217.00	240.00	145.00	126.00	241.00	323.00	351.00	285.00	
CNA00075_1	26454	26510	57	utr5E	127.00	40.00	63.00	11.00	14.00	14.00	1.00	2.00	1.00	38.00	48.00	62.00	44.00	45.00	57.00	31.00	25.00	24.00	24.00	24.00	25.00	
CNA00075_2	27077	27190	114	cdsE	27.00	12.00	17.00	14.00	16.00	20.00	6.00	5.00	5.00	2.00	3.00	2.00	327.00	288.00	262.00	85.00	96.00	25.00	54.00	45.00	43.00	
CNA00080_1	28232	28290	59	utr5E	8.00	13.00	13.00	1.00	1.00	2.00	1.00	1.00	1.00	1.00	2.00	1.00	7.00	7.00	8.00	1.00	1.00	1.00	1.00	2.00	1.00	
CNA00080_2	29095	29095	1	cdsE	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00080_3	29130	29133	4	cdsE	0	0	0	0	0	0	0	0	0	5.00	5.00	3.00	1.00	1.00	1.00	0	0	0	0	0	0	
CNA00080_4	29188	29227	40	cdsE	0	0	0	0	0	0	0	0	0	22.00	12.00	7.00	6.00	5.00	7.00	0	0	0	1.00	3.00	2.00	
CNA00090_1	29908	30039	132	utr5E	698.00	481.00	359.00	238.00	234.00	233.00	302.00	314.00	241.00	262.00	212.00	187.00	560.00	436.00	475.00	338.00	341.00	376.00	209.00	198.00	161.00	
CNA00110_1	35822	35874	53	cdsE	10.00	11.00	7.00	14.00	17.00	14.00	26.00	37.00	18.00	9.00	10.00	13.00	10.00	13.00	18.00	15.00	13.00	11.00	23.00	11.00	18.00	
CNA00110_2	36085	36106	22	cdsE	2.00	3.00	5.00	0	0	0	0	0	0	0	0	0	1.00	4.00	1.00	0	0	0	1.00	3.00	1.00	
CNA00110_3	36376	36396	21	cdsE	7.00	15.00	6.00	0	0	0	0	0	0	1.00	2.00	1.00	2.00	4.00	6.00	0	0	0	0	0	0	
CNA00110_4	37107	37136	30	cdsE	0	0	0	1.00	1.00	1.00	2.00	4.00	4.00	15.00	21.00	11.00	1.00	1.00	3.00	7.00	13.00	4.00	0	0	0	
CNA00110_5	37688	37842	155	cdsE	2.00	1.00	1.00	10.00	7.00	5.00	2.00	6.00	2.00	13.00	12.00	13.00	21.00	22.00	15.00	28.00	35.00	20.00	4.00	2.00	2.00	
