	merge_cluster																
name	stop	start	size	location	ne241EXPO-a	ne241EXPO-b	ne241EXPO-c	ne241-37-a	ne241-37-b	ne241-37-c	ne241STAT-a	ne241STAT-b	ne241STAT-c	ne241STAT-37-a	ne241STAT-37-b	ne241STAT-37-c	
CNAG_00003_1	14270	14270	1	cdsE	0	0	0	0	0	0	0	0	0	3.00	1.00	2.00	
CNAG_00003_2	14513	14513	1	cdsI	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	
CNAG_00004_1	19213	19213	1	cdsE	0	0	0	1.00	4.00	2.00	2.00	2.00	3.00	0	0	0	
CNAG_00004_2	19290	19290	1	cdsE	0	0	0	0	0	0	1.00	3.00	2.00	0	0	0	
CNAG_00004_3	19800	19844	45	utr5E	0	0	0	0	0	0	6.00	10.00	6.00	0	0	0	
CNAG_00004_4	19855	19855	1	utr5E	0	0	0	0	0	0	0	0	0	2.00	1.00	1.00	
CNAG_00005_1	22801	22911	111	utr5E	50.00	54.00	47.00	54.00	40.00	48.00	0	0	0	1.00	1.00	4.00	
CNAG_00006_1	24950	25055	106	cdsE	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	22.00	18.00	23.00	
CNAG_00006_2	25273	25370	98	cdsE	2.00	4.00	6.00	13.00	11.00	17.00	5.00	6.00	4.00	4.00	8.00	3.00	
CNAG_00006_3	26066	26159	94	utr5E	86.00	131.00	93.00	103.00	71.00	78.00	70.00	78.00	85.00	173.00	95.00	170.00	
CNAG_00008_1	29111	29352	242	cdsE	1.00	2.00	1.00	2.00	7.00	6.00	3.00	6.00	4.00	32.00	20.00	28.00	
CNAG_00008_2	29500	29502	3	cdsE	0	0	0	12.00	20.00	19.00	0	0	0	3.00	4.00	1.00	
CNAG_00008_3	32840	32905	66	utr5E	224.00	185.00	108.00	78.00	76.00	69.00	111.00	82.00	57.00	86.00	55.00	57.00	
CNAG_00010_1	36093	36172	80	cdsE	0	0	0	0	0	0	0	0	0	7.00	6.00	7.00	
CNAG_00010_2	38434	38434	1	cdsE	0	0	0	2.00	8.00	4.00	0	0	0	0	0	0	
CNAG_00010_3	38562	38562	1	cdsE	5.00	15.00	12.00	3.00	6.00	3.00	7.00	5.00	7.00	3.00	3.00	1.00	
CNAG_00010_4	39582	39624	43	utr5E	155.00	88.00	92.00	14.00	26.00	10.00	106.00	94.00	65.00	63.00	24.00	48.00	
CNAG_00013_1	45464	45764	301	cdsE	1.00	2.00	2.00	28.00	19.00	20.00	26.00	26.00	22.00	203.00	137.00	162.00	
CNAG_00013_2	46577	46625	49	utr5E	42.00	52.00	45.00	7.00	7.00	9.00	39.00	31.00	24.00	14.00	15.00	12.00	
CNAG_00013_3	46950	47008	59	utr5E	0	0	0	16.00	8.00	6.00	4.00	8.00	4.00	38.00	16.00	25.00	
CNAG_00017_1	54800	54800	1	cdsE	0	0	0	0	0	0	2.00	1.00	1.00	0	0	0	
CNAG_00017_2	54809	54861	53	cdsE	0	0	0	0	0	0	0	0	0	3.00	3.00	3.00	
CNAG_00017_3	54893	54893	1	cdsE	0	0	0	2.00	3.00	2.00	0	0	0	0	0	0	
CNAG_00017_4	55051	55051	1	cdsE	0	0	0	0	0	0	0	0	0	2.00	1.00	1.00	
CNAG_00017_5	55122	55162	41	cdsE	5.00	6.00	5.00	0	0	0	2.00	3.00	2.00	1.00	1.00	1.00	
CNAG_00017_6	55543	55543	1	cdsE	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	
CNAG_00017_7	56657	56657	1	cdsI	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	
CNAG_00017_8	56875	56875	1	cdsE	0	0	0	1.00	2.00	2.00	0	0	0	2.00	3.00	2.00	
CNAG_00017_9	57027	57027	1	cdsE	0	0	0	4.00	1.00	2.00	0	0	0	0	0	0	
CNAG_00017_10	57720	57748	29	utr5E	5.00	3.00	6.00	4.00	4.00	2.00	4.00	4.00	11.00	3.00	2.00	2.00	
CNAG_00019_1	62254	62463	210	utr5E	1321.00	1756.00	1651.00	1435.00	1035.00	1089.00	661.00	718.00	757.00	1105.00	819.00	1019.00	
CNAG_00021_1	67085	67116	32	cdsE	0	0	0	0	0	0	0	0	0	7.00	10.00	4.00	
CNAG_00021_2	67675	67725	51	cdsE	1.00	24.00	16.00	3.00	5.00	7.00	5.00	5.00	6.00	0	0	0	
CNAG_00021_3	68582	68652	71	utr5E	100.00	189.00	181.00	43.00	30.00	48.00	109.00	92.00	106.00	38.00	20.00	25.00	
CNAG_00022_1	69792	69973	182	cdsE	108.00	123.00	117.00	28.00	20.00	30.00	20.00	16.00	15.00	14.00	15.00	12.00	
CNAG_00022_2	70095	70177	83	utr5E	218.00	172.00	186.00	57.00	64.00	50.00	177.00	141.00	92.00	123.00	77.00	91.00	
CNAG_00023_1	71705	71709	5	utr5E	0	0	0	5.00	3.00	3.00	12.00	7.00	6.00	3.00	4.00	2.00	
CNAG_00023_2	71818	71826	9	utr5E	4.00	1.00	2.00	5.00	5.00	7.00	9.00	13.00	11.00	5.00	1.00	2.00	
