	merge_cluster																						
name	stop	start	size	location	ne11EXPO-a	ne11EXPO-b	ne11EXPO-c	ne11-37-a	ne11-37-b	ne11-37-c	ne695EXPO-a	ne695EXPO-b	ne695EXPO-c	ne11STAT-a	ne11STAT-b	ne11STAT-c	ne11STAT-37-a	ne11STAT-37-b	ne11STAT-37-c	ne579EXPO-a	ne579EXPO-b	ne579EXPO-c	
CNA00020_1	6331	6340	10	utr3E	69.00	47.00	35.00	113.00	71.00	54.00	20.00	20.00	27.00	20.00	15.00	30.00	19.00	20.00	15.00	37.00	28.00	28.00	
CNA00020_2	6508	6552	45	cdsE	16.00	8.00	5.00	43.00	31.00	25.00	7.00	2.00	2.00	9.00	6.00	16.00	6.00	3.00	1.00	22.00	7.00	9.00	
CNA00020_3	7779	7918	140	cdsI	16.00	10.00	9.00	8.00	9.00	10.00	102.00	44.00	59.00	29.00	25.00	40.00	24.00	30.00	18.00	5.00	7.00	6.00	
CNA00040_1	14300	14300	1	utr3E	18.00	12.00	7.00	15.00	9.00	9.00	5.00	3.00	6.00	9.00	13.00	19.00	13.00	8.00	11.00	9.00	10.00	4.00	
CNA00040_2	15948	15948	1	utr5E	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00060_1	20530	20590	61	utr3E	484.00	238.00	150.00	91.00	49.00	52.00	21.00	9.00	5.00	82.00	82.00	102.00	151.00	154.00	133.00	185.00	157.00	119.00	
CNA00100_1	31241	31278	38	utr3E	0	0	0	7.00	4.00	5.00	0	0	0	1.00	1.00	2.00	6.00	6.00	13.00	11.00	7.00	4.00	
CNA00100_2	31362	31362	1	utr3E	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	2.00	1.00	3.00	
CNA00100_3	34153	34211	59	cdsE	23.00	9.00	4.00	39.00	23.00	31.00	80.00	59.00	69.00	14.00	12.00	14.00	23.00	23.00	18.00	0	0	0	
CNA00100_4	34464	34464	1	utr5E	0	0	0	10.00	3.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00120_1	38564	38593	30	utr3E	2204.00	992.00	710.00	776.00	573.00	397.00	672.00	452.00	640.00	280.00	296.00	445.00	455.00	499.00	427.00	521.00	410.00	381.00	
CNA00140_1	43206	43209	4	utr3E	84.00	50.00	32.00	35.00	37.00	29.00	17.00	10.00	10.00	11.00	8.00	8.00	5.00	5.00	5.00	35.00	22.00	16.00	
CNA00140_2	43472	43472	1	utr3E	2.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	
CNA00150_1	45635	45671	37	utr3E	1090.00	725.00	505.00	371.00	315.00	241.00	150.00	77.00	121.00	523.00	474.00	534.00	531.00	688.00	634.00	520.00	382.00	342.00	
CNA00160_1	46940	47009	70	utr3E	2.00	1.00	1.00	26.00	7.00	10.00	1.00	1.00	4.00	1.00	1.00	3.00	33.00	37.00	32.00	2.00	1.00	2.00	
CNA00160_2	47522	47522	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	3.00	5.00	6.00	0	0	0	
CNA00160_3	48529	48529	1	utr5E	0	0	0	0	0	0	3.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00180_1	54464	54470	7	utr3E	22.00	6.00	4.00	37.00	27.00	16.00	4.00	2.00	3.00	5.00	17.00	12.00	19.00	23.00	10.00	14.00	4.00	9.00	
CNA00180_2	54600	54600	1	utr3E	4.00	1.00	1.00	0	0	0	0	0	0	0	0	0	4.00	2.00	4.00	0	0	0	
CNA00180_3	55708	55711	4	cdsE	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	9.00	6.00	4.00	0	0	0	
CNA00180_4	57396	57410	15	utr5E	1.00	1.00	1.00	0	0	0	7.00	4.00	6.00	0	0	0	0	0	0	0	0	0	
CNA00190_1	57709	57725	17	utr3E	233.00	119.00	74.00	166.00	89.00	69.00	94.00	47.00	95.00	33.00	27.00	51.00	83.00	94.00	78.00	172.00	143.00	156.00	
CNA00210_1	64175	64176	2	utr3E	39.00	8.00	4.00	23.00	19.00	22.00	17.00	11.00	11.00	11.00	8.00	5.00	17.00	37.00	17.00	14.00	17.00	10.00	
CNA00230_1	69835	69841	7	utr3E	114.00	64.00	63.00	97.00	55.00	40.00	10.00	9.00	10.00	14.00	23.00	31.00	70.00	113.00	83.00	129.00	72.00	78.00	
CNA00230_2	69841	69841	1	utr3E	0	0	0	0	0	0	10.00	9.00	10.00	14.00	23.00	31.00	0	0	0	0	0	0	
CNA00230_3	70568	70579	12	cdsI	0	0	0	12.00	6.00	8.00	0	0	0	0	0	0	5.00	5.00	3.00	2.00	3.00	3.00	
CNA00270_1	83340	83419	80	utr3E	191.00	91.00	69.00	254.00	143.00	118.00	17.00	8.00	14.00	115.00	101.00	182.00	158.00	190.00	152.00	37.00	33.00	36.00	
CNA00280_1	89477	89496	20	utr3E	29.00	9.00	10.00	20.00	15.00	5.00	9.00	7.00	8.00	14.00	5.00	12.00	32.00	26.00	22.00	6.00	8.00	2.00	
CNA00310_1	101902	101923	22	utr3E	5.00	5.00	2.00	5.00	4.00	5.00	2.00	1.00	1.00	6.00	6.00	20.00	10.00	13.00	11.00	0	0	0	
CNA00310_2	102021	102028	8	utr3E	0	0	0	0	0	0	0	0	0	5.00	4.00	4.00	9.00	2.00	5.00	1.00	5.00	3.00	
CNA00320_1	104515	104523	9	utr3E	56.00	33.00	29.00	26.00	26.00	21.00	6.00	1.00	7.00	51.00	32.00	75.00	55.00	35.00	29.00	26.00	17.00	16.00	
CNA00320_2	105918	105935	18	cdsE	5.00	3.00	3.00	3.00	3.00	2.00	0	0	0	2.00	7.00	12.00	5.00	6.00	7.00	4.00	2.00	2.00	
CNA00340_1	110909	110916	8	utr3E	53.00	32.00	19.00	40.00	32.00	22.00	9.00	13.00	16.00	35.00	36.00	44.00	43.00	51.00	44.00	21.00	22.00	12.00	
CNA00340_2	112367	112368	2	cdsE	0	0	0	0	0	0	6.00	3.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00360_1	114088	114099	12	utr3E	224.00	172.00	93.00	54.00	39.00	33.00	55.00	17.00	24.00	225.00	204.00	362.00	155.00	165.00	147.00	113.00	97.00	69.00	
CNA00370_1	119422	119426	5	utr5E	0	0	0	0	0	0	7.00	7.00	3.00	0	0	0	0	0	0	0	0	0	
CNA00390_1	121271	121292	22	utr3E	14.00	6.00	9.00	2.00	3.00	1.00	3.00	4.00	2.00	1.00	2.00	4.00	4.00	6.00	1.00	9.00	4.00	7.00	
CNA00390_2	121292	121292	1	utr3E	14.00	6.00	9.00	2.00	3.00	1.00	0	0	0	1.00	2.00	4.00	4.00	6.00	1.00	9.00	4.00	7.00	
CNA00400_1	122970	122972	3	utr3E	64.00	50.00	35.00	22.00	22.00	12.00	5.00	7.00	10.00	29.00	29.00	35.00	14.00	20.00	19.00	25.00	20.00	13.00	
CNA00400_2	123071	123089	19	utr3E	8.00	5.00	4.00	0	0	0	20.00	9.00	10.00	19.00	14.00	24.00	7.00	16.00	8.00	21.00	19.00	26.00	
CNA00400_3	123220	123223	4	cdsE	1.00	1.00	1.00	0	0	0	0	0	0	1.00	1.00	4.00	7.00	5.00	3.00	8.00	4.00	5.00	
CNA00400_4	128324	128349	26	utr5E	0	0	0	0	0	0	3.00	3.00	3.00	0	0	0	0	0	0	0	0	0	
CNA00430_1	130681	130712	32	utr3E	24.00	33.00	19.00	11.00	7.00	4.00	8.00	10.00	16.00	29.00	26.00	41.00	31.00	30.00	19.00	12.00	6.00	4.00	
CNA00430_2	131766	131772	7	utr5E	41.00	20.00	14.00	21.00	10.00	5.00	219.00	107.00	155.00	71.00	102.00	87.00	36.00	41.00	30.00	16.00	11.00	11.00	
CNA00470_1	136178	136303	126	utr3E	940.00	525.00	350.00	212.00	124.00	110.00	342.00	213.00	315.00	497.00	426.00	533.00	591.00	640.00	547.00	116.00	90.00	84.00	
CNA00480_1	138003	138015	13	utr3E	1581.00	708.00	433.00	568.00	359.00	325.00	384.00	189.00	372.00	298.00	304.00	342.00	477.00	470.00	428.00	549.00	441.00	427.00	
CNA00490_1	141971	141995	25	utr3E	67.00	36.00	21.00	22.00	20.00	12.00	7.00	9.00	10.00	21.00	23.00	27.00	25.00	14.00	14.00	25.00	21.00	26.00	
CNA00490_2	143404	143404	1	cdsI	7.00	4.00	5.00	0	0	0	3.00	1.00	2.00	4.00	1.00	7.00	0	0	0	0	0	0	
CNA00520_1	146860	146868	9	utr3E	70.00	51.00	28.00	9.00	9.00	12.00	13.00	16.00	12.00	27.00	21.00	24.00	43.00	42.00	31.00	44.00	35.00	42.00	
CNA00520_2	146868	146868	1	utr3E	0	0	0	9.00	9.00	12.00	13.00	16.00	12.00	27.00	21.00	24.00	0	0	0	0	0	0	
CNA00520_3	148943	148945	3	cdsE	11.00	8.00	8.00	2.00	2.00	1.00	8.00	8.00	8.00	7.00	7.00	6.00	11.00	10.00	17.00	9.00	8.00	8.00	
CNA00520_4	149070	149075	6	cdsE	30.00	16.00	10.00	0	0	0	3.00	2.00	2.00	16.00	12.00	12.00	14.00	10.00	8.00	18.00	11.00	16.00	
CNA00520_5	149150	149156	7	cdsE	25.00	20.00	12.00	7.00	11.00	8.00	0	0	0	12.00	14.00	22.00	30.00	29.00	16.00	22.00	15.00	22.00	
CNA00530_1	150744	150825	82	utr3E	165.00	116.00	70.00	87.00	46.00	35.00	69.00	41.00	58.00	57.00	29.00	45.00	75.00	65.00	62.00	55.00	51.00	56.00	
CNA00550_1	154612	154643	32	utr3E	54.00	35.00	24.00	22.00	25.00	12.00	63.00	43.00	95.00	23.00	14.00	31.00	18.00	22.00	26.00	28.00	27.00	19.00	
CNA00550_2	154698	154699	2	utr3E	0	0	0	2.00	2.00	1.00	2.00	2.00	1.00	1.00	1.00	2.00	10.00	12.00	9.00	10.00	2.00	3.00	
CNA00570_1	157879	158002	124	utr3E	48.00	36.00	28.00	81.00	62.00	38.00	11.00	6.00	10.00	88.00	74.00	97.00	109.00	71.00	90.00	64.00	28.00	32.00	
